GSE_ID,GSM_ID,GPL,title,MTHFR,TYMS,MTR,MTRR,CYP1A1,GSTM1,GSTT1,GSTP1,TLR2,TLR4,TLR7,TLR9,STAT4
GSE10325,GSM260948,GPL96,SLE CD4 T cells 13,9.366666666666667,320.0,605.0,353.3,52.9,342.8,13.2,232.5,63.8,28.6,90.9,-1,933.9
GSE10325,GSM260949,GPL96,SLE CD19 B cells 13,18.6,99.0,320.2,167.3,10.0,332.65,24.1,763.2,183.9,42.8,1213.3,-1,211.5
GSE10325,GSM260950,GPL96,SLE CD4 T cells 14,18.633333333333333,307.59999999999997,622.9,435.15,26.4,340.3,7.2,262.7,70.3,19.2,47.7,-1,1293.9
GSE10325,GSM260951,GPL96,SLE CD19 B cells 14,34.166666666666664,1905.55,359.1,322.35,9.9,294.0,11.7,597.2,53.4,64.0,743.8,-1,118.2
GSE10325,GSM260952,GPL96,SLE myeloid cells 14,18.033333333333335,40.6,114.0,188.5,30.2,204.65,6.4,935.7,3283.4,852.9,469.3,-1,118.4
GSE38351,GSM940450,GPL96,Monocytes from SLE patient number 1 (SL_1),22.333333333333332,27.65,127.3,91.19999999999999,16.3,88.05,13.0,826.1,2058.7,541.6,316.4,-1,108.0
GSE38351,GSM940451,GPL96,Monocytes from SLE patient number 2 (SL_2),12.199999999999998,37.75,103.2,118.1,3.1,118.35000000000001,8.2,770.0,1523.8,746.3,273.1,-1,92.7
GSE38351,GSM940452,GPL96,Monocytes from SLE patient number 3 (SL_3),10.266666666666667,40.75,147.2,108.8,9.5,71.15,5.9,583.0,1398.5,704.7,424.0,-1,90.6
GSE38351,GSM940453,GPL96,Monocytes from SLE patient number 4 (SL_4),17.53333333333333,36.5,122.1,141.5,20.8,116.95,7.4,620.5,2057.5,833.9,244.8,-1,67.4
GSE38351,GSM940454,GPL96,Monocytes from SLE patient number 5 (SL_5),13.933333333333332,17.25,100.5,141.8,5.2,80.2,4.8,853.4,1724.3,815.5,323.1,-1,69.2
GSE38351,GSM940455,GPL96,Monocytes from SLE patient number 7 (SL_7),30.86666666666667,35.75,88.1,140.0,8.9,69.65,7.3,874.7,1775.4,899.6,173.8,-1,86.8
GSE38351,GSM940456,GPL96,Monocytes from SLE patient number 8 (SL_8),13.733333333333334,29.65,106.9,102.14999999999999,26.1,167.95,3.9,770.3,1829.4,688.2,288.5,-1,84.8
GSE38351,GSM940457,GPL96,Monocytes from SLE patient number 9 (SL_9),23.03333333333333,23.0,91.7,97.55000000000001,19.4,74.9,14.3,843.2,2035.6,745.1,494.4,-1,79.9
GSE38351,GSM940458,GPL96,Monocytes from SLE patient number 10 (SL_10),8.6,25.7,97.5,111.65,9.3,84.45,7.7,779.9,1296.4,601.0,501.2,-1,55.8
GSE38351,GSM940459,GPL96,Monocytes from SLE patient number 11 (SL_11),17.633333333333333,28.35,62.7,115.35000000000001,14.9,34.0,8.7,713.3,1257.7,598.9,74.2,-1,39.7
